index,artist_name,track_name,danceability,energy,key,loudness,speechiness,accousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date
120,One Direction,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,0.629,0.83,10,-5.594,0.0345,0.000235,0.0183,0.135,0.294,102.998,281533,2010-11-29
121,One Direction,Steal My Girl - Big Payno & Afterhrs Pool Party Remix,0.906,0.57,3,-7.843,0.0484,0.00105,0.0291,0.0553,0.538,121.499,320733,2010-11-29
122,One Direction,Night Changes - Afterhrs Remix,0.59,0.585,5,-7.061,0.0418,0.283,0,0.0811,0.412,123.496,220173,2010-11-29
123,One Direction,Drag Me Down (feat. LunchMoney Lewis) - Big Payno x AFTERHRS Remix,0.711,0.729,8,-4.462,0.0822,0.0542,0,0.0822,0.363,138.099,189226,2010-11-29
124,One Direction,Perfect (feat. Matoma) - Matoma Remix,0.728,0.7,2,-4.884,0.0374,0.0342,0,0.191,0.474,100.024,223827,2010-11-29
125,One Direction,STAY,0.591,0.764,1,-5.484,0.0483,0.0383,0,0.102,0.478,169.928,143800,2021-12-29
126,One Direction,Beggin',0.714,0.805,11,-4.797,0.0502,0.128,0,0.359,0.613,133.959,213560,2021-12-29
127,One Direction,MONTERO (Call Me By Your Name),0.535,0.511,8,-6.84,0.159,0.308,0,0.38,0.757,88.837,140173,2021-12-29
128,One Direction,Mood (feat. iann dior),0.699,0.719,7,-3.586,0.0367,0.198,0,0.0773,0.726,90.991,142813,2021-12-29
129,One Direction,Savage Love (Laxed - Siren Beat) - BTS Remix,0.758,0.605,0,-5.391,0.0774,0.173,0,0.317,0.695,149.893,187400,2021-12-29
130,One Direction,Sucker for You,0.876,0.627,0,-4.933,0.0658,0.199,0,0.0795,0.768,94.994,206747,2021-12-29
131,One Direction,Classic,0.701,0.825,1,-3.98,0.101,0.0308,0,0.0718,0.771,101.991,171387,2021-12-29
132,Doja Cat,Say So,0.804,0.672,11,-4.614,0.122,0.256,1.02e-05,0.0906,0.778,111.023,237893,2019-11-07
133,One Direction,Heartbreak Heard Around the World (feat. T-Pain),0.623,0.801,4,-5.477,0.0621,0.0874,0,0.235,0.518,91.934,179627,2021-12-29
134,One Direction,Me Too,0.923,0.726,11,-5.572,0.0884,0.0885,0,0.365,0.795,123.841,184053,2021-12-29
135,One Direction,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,0.823,0.858,2,-3.528,0.123,0.009,9.55e-05,0.254,0.778,122.993,171960,2021-12-29
136,One Direction,SugarCrash!,0.742,0.726,0,-6.644,0.113,0.557,2.17e-05,0.0807,0.33,97.711,82653,2021-12-29
137,One Direction,Roses - Imanbek Remix,0.776,0.721,8,-5.409,0.0497,0.0216,0.00251,0.225,0.871,121.95,177653,2021-12-29
138,One Direction,The Spectre,0.649,0.81,1,-3.626,0.0374,0.00941,0.000544,0.119,0.208,127.999,191800,2021-12-29
139,One Direction,You for Me,0.735,0.86,2,-2.695,0.0419,0.0491,2.44e-06,0.251,0.688,126.041,177907,2021-12-29
140,Little Mix,Wings,0.742,0.878,9,-3.127,0.128,0.000758,8.88e-05,0.286,0.564,114.965,221720,2012-11-19
141,One Direction,Gonna Make You Sweat (Everybody Dance Now),0.557,0.898,6,-4.954,0.0913,0.00138,0.346,0.119,0.841,113.485,246640,2021-12-29
142,One Direction,Let's Groove,0.851,0.837,11,-4.634,0.0537,0.152,1.68e-06,0.183,0.955,125.915,338813,2021-12-29
143,One Direction,Rasputin,0.753,0.865,6,-5.695,0.0991,0.00377,0.000118,0.141,0.678,128.018,186210,2021-07-02
144,One Direction,TiK ToK,0.742,0.851,2,-2.032,0.142,0.0919,0,0.319,0.687,120.033,199547,2020-10-16
145,One Direction,Dancing Queen,0.545,0.885,9,-6.796,0.048,0.317,0.00303,0.307,0.742,100.441,229343,2021-11-19
146,One Direction,The Grease Megamix,0.538,0.833,7,-7.818,0.348,0.267,4.07e-05,0.425,0.754,125.115,288006,2021-11-19
147,One Direction,Y.M.C.A.,0.727,0.932,6,-6.131,0.102,0.234,0,0.139,0.713,127.114,222947,2021-11-19
148,One Direction,Megamix - Edited Version,0.53,0.969,0,-8.072,0.0465,0.0403,0.0713,0.354,0.91,121.568,231233,2021-11-19
149,One Direction,I Will Survive,0.771,0.785,0,-6.793,0.0469,0.0259,0.000691,0.327,0.622,116.285,196516,2021-11-19
150,One Direction,Hot Stuff,0.78,0.909,0,-7.726,0.0406,0.0129,0.00329,0.0449,0.966,120.444,220545,2021-11-19
151,One Direction,Tragedy,0.645,0.886,2,-6.621,0.0392,0.0118,0.0119,0.25,0.786,125.046,269792,2021-11-19
152,One Direction,Better the Devil You Know,0.567,0.949,10,-7.873,0.0451,0.0172,0.243,0.0255,0.63,120.044,233320,2021-11-19
153,One Direction,It's Raining Men - Single Version,0.725,0.887,5,-7.102,0.0721,0.206,1.05e-05,0.691,0.695,136.344,211053,2021-11-19
154,One Direction,You Spin Me Round (Like a Record),0.561,0.958,6,-6.264,0.0362,0.0242,0.0101,0.578,0.964,128.638,191524,2021-11-19
155,One Direction,Relax,0.674,0.88,11,-6.451,0.0414,0.311,4.75e-06,0.0397,0.703,114.907,236387,2021-11-19
156,One Direction,Jacky,0.555,0.928,6,-8.825,0.127,0.0585,6.55e-06,0.135,0.416,127.024,288674,2021-11-19
157,One Direction,The Time Warp,0.732,0.966,2,-7.124,0.0527,0.00232,9.88e-05,0.108,0.657,127.165,241676,2021-11-19
158,One Direction,Relight My Fire (feat. Lulu),0.65,0.922,9,-8.035,0.0486,0.0298,0,0.124,0.916,122.616,250980,2021-11-19
159,One Direction,Night Fever,0.703,0.902,6,-8.266,0.0455,0.0482,0,0.0306,0.576,114.064,214653,2021-11-19
160,One Direction,Love Shack - Edit,0.709,0.879,7,-5.333,0.0665,0.142,1.58e-06,0.68,0.903,133.526,256965,2021-11-19
161,One Direction,Gloria,0.749,0.784,9,-6.646,0.0289,0.173,0.28,0.194,0.793,131.367,289656,2021-11-19
162,One Direction,Dreaming,0.385,0.837,2,-7.186,0.0363,1.54e-05,0.00166,0.0846,0.84,161.273,183674,2021-11-19
163,One Direction,The Shoop Shoop Song (It's in His Kiss),0.671,0.725,0,-6.838,0.0298,0.361,0,0.55,0.923,117.052,169811,2021-11-19
164,One Direction,Hooked on Classics,0.631,0.732,7,-8.156,0.0619,0.0308,0.804,0.0598,0.458,66.821,225051,2021-11-19
165,One Direction,Say Say Say,0.82,0.785,10,-7.651,0.0526,0.0622,0.00106,0.0346,0.806,117.533,234387,2021-11-19
166,One Direction,Ghostbusters,0.779,0.77,6,-7.989,0.0348,0.0118,0.0224,0.252,0.712,115.404,237976,2021-11-19
167,One Direction,Come on Eileen,0.461,0.715,0,-6.527,0.0382,0.342,1.29e-06,0.114,0.945,107.877,245348,2021-11-19
168,One Direction,Don't You Want Me,0.741,0.748,9,-7.701,0.0488,0.215,0,0.0725,0.931,117.485,235078,2021-11-19
169,One Direction,Tainted Love,0.511,0.515,0,-6.815,0.0401,0.408,0,0.547,0.763,144.632,158495,2021-11-19
170,One Direction,Get on Your Feet,0.667,0.847,9,-6.413,0.0384,0.0234,0.00435,0.103,0.843,123.916,217858,2021-07-02
171,One Direction,On the Floor (Radio Edit - No Rap),0.722,0.631,3,-8.285,0.0509,0.0636,0.00771,0.0945,0.404,130.024,218615,2021-11-19
172,One Direction,Livin' la Vida Loca,0.424,0.881,1,-8.576,0.0468,0.00575,0,0.0789,0.942,178.034,241627,2021-11-19
173,One Direction,You Can Call Me Al,0.778,0.737,5,-9.05,0.0482,0.0595,0.00227,0.122,0.807,127.806,279846,2021-11-19
174,One Direction,The One and Only,0.682,0.82,4,-6.356,0.0336,0.349,0,0.389,0.748,119.965,219540,2021-11-19
175,One Direction,Stars On 45 - Single Version,0.765,0.755,7,-7.447,0.0591,0.345,0,0.493,0.963,122.56,286865,2021-11-19
176,One Direction,Suspicious Minds,0.489,0.448,7,-8.125,0.0296,0.0516,2.78e-06,0.563,0.721,118.08,270193,2021-11-19
177,One Direction,(We're Gonna) Rock Around the Clock,0.803,0.813,1,-6.602,0.188,0.379,2.34e-06,0.136,0.768,89.783,131552,2021-11-19
178,One Direction,Let's Twist Again,0.64,0.694,3,-6.983,0.0368,0.0165,1.3e-05,0.0248,0.975,162.418,141721,2021-11-19
179,One Direction,Dancin' Party,0.56,0.822,2,-7.417,0.044,0.0253,3.81e-06,0.0395,0.961,165.864,161499,2021-11-19
180,One Direction,This Ole House,0.579,0.948,10,-5.505,0.224,0.104,1.98e-06,0.3,0.903,192.77,183577,2021-11-19
181,One Direction,Da Doo Ron Ron,0.461,0.881,3,-7.508,0.0568,0.00657,0.00453,0.292,0.453,73.079,139844,2021-11-19
182,One Direction,Dancing in the Street,0.551,0.774,11,-6.164,0.0357,0.0493,0.0361,0.119,0.711,126.359,158256,2021-11-19
183,One Direction,Baby Love - Single Version,0.562,0.687,1,-5.654,0.0314,0.36,0,0.0721,0.643,135.445,154581,2021-11-19
184,One Direction,"I Can't Help Myself (Sugar Pie, Honey Bunch)",0.683,0.652,0,-6.925,0.0293,0.2,0,0.0567,0.966,126.785,162885,2021-11-19
185,One Direction,For Once In My Life - Single Version,0.596,0.692,6,-6.119,0.0406,0.289,0,0.204,0.848,109.777,168853,2021-07-16
186,One Direction,"Yes Sir, I Can Boogie",0.451,0.787,2,-6.954,0.0735,0.128,0,0.127,0.51,122.47,271739,2021-11-19
187,One Direction,"Le Freak - 7"" Edit - 2018 Remastered",0.834,0.787,7,-7.709,0.0717,0.0364,0.000115,0.243,0.841,120.085,213539,2021-11-19
188,One Direction,Lost in Music - Single Edit,0.762,0.904,0,-7.549,0.0447,0.0699,9.55e-06,0.347,0.825,117.351,202491,2021-11-19
189,One Direction,September,0.696,0.766,9,-7.71,0.0353,0.0183,9.33e-06,0.156,0.973,125.99,215219,2021-07-02
190,One Direction,"December, 1963 (Oh, What a Night)",0.724,0.639,1,-8.256,0.0256,0.081,6.52e-06,0.046,0.965,104.396,199370,2021-11-19
191,One Direction,Young Hearts Run Free,0.654,0.656,7,-8.756,0.0386,0.28,1.23e-06,0.103,0.76,116.158,227487,2021-11-19
192,One Direction,Singin' In the Rain,0.682,0.968,11,-6.892,0.158,0.443,0.0293,0.404,0.911,135.789,226327,2021-11-19
193,One Direction,Can't Stop the Music,0.777,0.773,9,-6.961,0.111,0.0641,0,0.643,0.652,133.397,214186,2021-11-19
194,One Direction,Feels Like I'm in Love,0.611,0.888,0,-7.371,0.037,0.00125,0.0299,0.345,0.572,120.847,197939,2021-11-19
195,One Direction,We Are the Champions,0.458,0.565,7,-4.663,0.0297,0.411,0,0.138,0.207,94.538,181575,2021-07-16
196,One Direction,Don't Stop,0.576,0.862,9,-5.256,0.0411,0.0615,0,0.052,0.876,119.025,191338,2021-07-16
