date,followers,followerdifference,retweets,retweetsdifference
2021-04-22,3818287,4614,0,-84404
2021-04-23,3822895,4608,0,0
2021-04-24,3827777,4882,0,0
2021-04-25,3832056,4279,0,0
2021-04-26,3836698,4642,0,0
2021-04-27,3840703,4005,0,0
2021-04-28,3845443,4740,0,0
2021-04-29,3850302,4859,0,0
2021-04-30,3857881,7579,0,0
2021-05-01,3864185,6304,0,0
2021-05-02,3870228,6043,0,0
2021-05-03,3875202,4974,0,0
2021-05-04,3880056,4854,0,0
2021-05-05,3885344,5288,0,0
2021-05-06,3890230,4886,0,0
2021-05-07,3895277,5047,0,0
2021-05-08,3899822,4545,0,0
2021-05-09,3905215,5393,0,0
2021-05-10,3912378,7163,0,0
2021-05-11,3925434,13056,0,0
2021-05-13,3941273,15839,0,0
2021-05-14,3947120,5847,0,0
2021-05-15,3954353,7233,0,0
2021-05-16,3960152,5799,0,0
2021-05-17,3966510,6358,0,0
2021-05-18,3972134,5624,0,0
2021-05-19,3975411,3277,0,0
2021-05-20,3980593,5182,0,0
2021-05-21,3988268,7675,0,0
2021-05-22,3994810,6542,0,0
2021-05-23,3999417,4607,0,0
2021-05-24,4006845,7428,0,0
2021-05-25,4012190,5345,0,0
2021-05-26,4017583,5393,0,0
2021-05-27,4022500,4917,0,0
2021-05-28,4026411,3911,0,0
2021-05-29,4031037,4626,0,0
2021-05-30,4036075,5038,0,0
2021-05-31,4040547,4472,0,0
2021-06-01,4044278,3731,0,0
2021-06-02,4050732,6454,0,0
2021-06-03,4056388,5656,0,0
2021-06-04,4060946,4558,26433,26433
2021-06-05,4065331,4385,32245,5812
2021-06-06,4070155,4824,33007,762
2021-06-07,4075422,5267,33409,402
2021-06-08,4080902,5480,33839,430
2021-06-09,4086972,6070,34130,291
2021-06-10,4092320,5348,34279,149
2021-06-11,4097180,4860,0,-34279
2021-06-12,4102440,5260,0,0
2021-06-13,4109148,6708,0,0
2021-06-14,4116859,7711,0,0
2021-06-15,4126712,9853,52291,52291
2021-06-16,4133745,7033,62061,9770
2021-06-17,4138829,5084,63322,1261
2021-06-18,4143531,4702,63788,466
2021-06-19,4148532,5001,64113,325
2021-06-20,4152949,4417,64291,178
2021-06-21,4157077,4128,64445,154
2021-06-22,4162660,5583,56017,-8428
2021-06-23,4167018,4358,107888,51871
2021-06-24,4171579,4561,150422,42534
2021-06-25,4175599,4020,225067,74645
2021-06-26,4180395,4796,229890,4823
2021-06-27,4186043,5648,231307,1417
2021-06-28,4189564,3521,172784,-58523
2021-06-29,4193725,4161,173185,401
2021-06-30,4198066,4341,136372,-36813
