date,listeners,rank
2019-12-17,251488,88
2019-12-18,252946,88
2019-12-19,254276,88
2019-12-20,255283,88
2019-12-21,255901,88
2019-12-22,256456,88
2019-12-27,260591,88
2019-12-28,260591,88
2019-12-29,260439,88
2019-12-30,260494,88
2019-12-31,260215,88
2020-01-01,261107,88
2020-01-02,266168,88
2020-01-03,266971,88
2020-01-04,266270,88
2020-01-05,264335,88
2020-01-06,262258,88
2020-01-07,260536,88
2020-01-08,259791,88
2020-01-09,258345,88
2020-01-10,257573,88
2020-01-11,255845,88
2020-01-12,254111,88
2020-01-13,252555,88
2020-01-14,250551,88
2020-01-15,248003,88
2020-01-16,245877,88
2020-01-17,242549,88
2020-01-19,236242,88
2020-01-20,233080,88
2020-01-21,230370,88
2020-01-22,227005,88
2020-01-23,222186,88
2020-01-24,219256,88
2020-01-25,216436,88
2020-01-26,213449,88
2020-01-27,210155,88
2020-01-28,207057,88
2020-01-30,193711,88
2020-01-31,191997,88
2020-02-01,190143,88
2020-02-02,188400,88
2020-02-03,186965,88
2020-02-04,185353,88
2020-02-05,183325,88
2020-02-06,181199,88
2020-02-07,179619,88
2020-02-08,178098,88
2020-02-09,176254,88
2020-02-10,174321,88
2020-02-12,172118,88
2020-02-13,170163,88
2020-02-14,171431,88
2020-02-15,172447,88
2020-02-16,173416,88
2020-02-17,174584,88
2020-02-18,175597,88
2020-02-19,176444,88
2020-02-20,177333,88
2020-02-21,178184,88
2020-02-22,179382,88
2020-02-23,180132,88
2020-02-24,180801,88
2020-02-25,181460,88
2020-02-26,182299,88
2020-02-27,183265,88
2020-02-28,182921,88
2020-02-29,182773,88
2020-03-01,182539,88
2020-03-02,182372,88
2020-03-03,181884,88
2020-03-04,181514,88
2020-03-05,181045,88
2020-03-06,181219,88
2020-03-08,181442,88
2020-03-09,181500,88
2020-03-10,181523,88
2020-03-11,181669,88
2020-03-13,180901,88
2020-03-14,179730,88
2020-03-15,178502,88
2020-03-16,176713,88
2020-03-17,174732,88
2020-03-18,173093,88
2020-03-19,171189,88
2020-03-20,169721,88
2020-03-21,168160,88
2020-03-22,166971,88
2020-03-23,165403,88
2020-03-24,163661,88
2020-03-25,162556,88
2020-03-26,161010,88
2020-03-27,159620,88
2020-03-28,157752,88
2020-03-29,155471,88
2020-03-30,153023,88
2020-03-31,150695,88
2020-04-01,148597,88
2020-04-23,112838,88
2020-04-25,113275,88
2020-04-26,113406,88
2020-04-27,113508,88
2020-04-28,113627,88
2020-04-29,113737,88
2020-04-30,113857,88
2020-05-01,113653,88
2020-05-02,112999,88
2020-05-03,113857,88
2020-05-04,113857,88
2020-05-05,113232,88
2020-05-06,113232,88
2020-05-07,113232,88
2020-05-08,113232,88
2020-05-09,113232,88
2020-05-10,114679,88
2020-05-11,114679,88
2020-05-12,114679,88
2020-05-13,114679,88
2020-05-14,114679,88
2020-05-15,115370,88
2020-05-16,115643,88
2020-05-17,115370,88
2020-05-18,115370,88
2020-05-19,115370,88
2020-05-20,115643,88
2020-05-21,117348,88
2020-05-22,117348,88
2020-05-23,117348,88
2020-05-24,117348,88
2020-05-25,121682,88
2020-05-26,121682,88
2020-05-27,121682,88
2020-05-28,121682,88
2020-05-29,121682,88
2020-05-30,137205,88
2020-05-31,137205,88
2020-06-01,137205,88
2020-06-02,137205,88
2020-06-03,137205,88
2020-06-04,194787,88
2020-06-05,194787,88
2020-06-06,194787,88
2020-06-07,194787,88
2020-06-08,194787,88
2020-06-09,250363,88
2020-06-10,250363,88
2020-06-11,250363,88
2020-06-12,250363,88
2020-06-14,279127,88
2020-06-15,279127,88
2020-06-16,279127,88
2020-06-17,279127,88
2020-06-18,279127,88
2020-06-19,307992,88
2020-06-20,307992,88
2020-06-21,307992,88
2020-06-22,307992,88
2020-06-23,325814,88
2020-06-24,329611,88
2020-06-25,329611,88
2020-06-26,329611,88
2020-06-27,329611,88
2020-06-28,329611,88
2020-06-29,344442,88
2020-06-30,354395,88
2020-07-01,362554,88
2020-07-02,362554,88
2020-07-03,362554,88
2020-07-04,362554,88
2020-07-05,362554,88
2020-07-06,401464,88
2020-07-07,401464,88
2020-07-08,401464,88
2020-07-09,401464,88
2020-07-10,401464,88
2020-07-11,432339,88
2020-07-12,432339,88
2020-07-13,432339,88
2020-07-14,432339,88
2020-07-15,432339,88
2020-07-16,455335,88
2020-07-17,455335,88
2020-07-18,455335,88
2020-07-19,455335,88
2020-07-20,455335,88
2020-07-21,483681,88
2020-07-22,483681,88
2020-07-23,483681,88
2020-07-24,483681,88
2020-07-25,483681,88
2020-07-26,510083,88
2020-07-27,510083,88
2020-07-28,510083,88
2020-07-29,510083,88
2020-07-30,490054,88
2020-07-31,490054,88
2020-08-01,490054,88
2020-08-02,490054,88
2020-08-03,490054,88
2020-08-04,465129,88
2020-08-05,465129,88
2020-08-06,465129,88
2020-08-07,449389,88
2020-08-08,449389,88
2020-08-09,449389,88
2020-08-10,449389,88
2020-08-11,449389,88
2020-08-12,433050,88
2020-08-13,433050,88
2020-08-14,433050,88
2020-08-15,433050,88
2020-08-16,412642,88
2020-08-17,405962,88
2020-08-18,399734,88
2020-08-19,393455,88
2020-08-20,393455,88
2020-08-21,386648,88
2020-08-22,386648,88
2020-08-23,386648,88
2020-08-24,363093,88
2020-08-25,363093,88
2020-08-26,363093,88
2020-08-27,363093,88
2020-08-28,345139,88
2020-08-29,342927,88
2020-08-30,354152,88
2020-08-31,362262,88
2020-09-01,368287,88
2020-09-02,374967,88
2020-09-03,387634,88
2020-09-04,397628,88
2020-09-05,406185,88
2020-09-06,406185,88
2020-09-07,421893,88
2020-09-08,428695,88
2020-09-09,433712,88
2020-09-10,437783,88
2020-09-11,437783,88
2020-09-12,454669,88
2020-09-13,462431,88
2020-09-14,470573,88
2020-09-15,478376,88
2020-09-16,478376,88
2020-09-17,478376,88
2020-09-18,478376,88
2020-09-19,478376,88
2020-09-20,518693,88
2020-09-21,528565,88
2020-09-22,528565,88
2020-09-23,528565,88
2020-09-24,528565,88
2020-09-25,528565,88
2020-09-26,565778,88
2020-09-27,565778,88
2020-09-28,567999,88
2020-09-29,569369,88
2020-09-30,569369,88
2020-10-01,569369,88
2020-10-02,569369,88
2020-10-03,569369,88
2020-10-04,569369,88
2020-10-05,587728,88
2020-10-06,587728,88
2020-10-07,587728,88
2020-10-08,587728,88
2020-10-09,587728,88
2020-10-10,617556,88
2020-10-11,617556,88
2020-10-12,617556,88
2020-10-13,617556,88
2020-10-14,617556,88
2020-10-15,624029,88
2020-10-16,624029,88
2020-10-17,624029,88
2020-10-18,624029,88
2020-10-19,624029,88
2020-10-20,625343,88
2020-10-21,624587,88
2020-10-22,624587,88
2020-10-23,624587,88
2020-10-24,624587,88
2020-10-25,624587,88
2020-10-26,630219,88
2020-10-27,630219,88
2020-10-28,630219,88
2020-10-29,630219,88
2020-10-30,630219,88
2020-10-31,634713,88
2020-11-01,634713,88
2020-11-02,634713,88
2020-11-03,634713,88
2020-11-04,634713,88
2020-11-05,587600,88
2020-11-06,587600,88
2020-11-07,587600,88
2020-11-08,587600,88
2020-11-09,587600,88
2020-11-10,574371,88
2020-11-11,574371,88
2020-11-12,574371,88
2020-11-13,574371,88
2020-11-14,574371,88
2020-11-15,557321,88
2020-11-16,557321,88
2020-11-17,557321,88
2020-11-18,557321,88
2020-11-19,557321,88
2020-11-20,538890,88
2020-11-21,538890,88
2020-11-22,538890,88
2020-11-23,538890,88
2020-11-24,538890,88
2020-11-25,515364,88
2020-11-26,515364,88
2020-11-27,515364,88
2020-11-28,515364,88
2020-11-29,515364,88
2020-11-30,495047,88
2020-12-01,495047,88
2020-12-02,495165,88
2020-12-03,495165,88
2020-12-04,495165,88
2020-12-05,495165,88
2020-12-06,495165,88
2020-12-07,495165,88
2020-12-08,482150,88
2020-12-09,482150,88
2020-12-10,482150,88
2020-12-11,482150,88
2020-12-12,482150,88
2020-12-13,464640,88
2020-12-14,464640,88
2020-12-15,464640,88
2020-12-16,432477,88
2020-12-17,432477,88
2020-12-18,432477,88
2020-12-19,432477,88
2020-12-20,432477,88
2020-12-21,415431,88
2020-12-23,415431,88
2020-12-24,415431,88
2020-12-25,415431,88
2020-12-26,407174,88
2020-12-28,407174,88
2020-12-29,407174,88
2020-12-30,407174,88
2020-12-31,378249,88
2021-01-01,378249,88
2021-01-02,378249,88
2021-01-03,378249,88
2021-01-04,378249,88
2021-01-05,338415,88
2021-01-06,338415,88
2021-01-07,338415,88
2021-01-08,338415,88
2021-01-09,338415,88
2021-01-10,315141,88
2021-01-11,315141,88
2021-01-12,315141,88
2021-01-13,311938,88
2021-01-14,311938,88
2021-01-15,311938,88
2021-01-16,311938,88
2021-01-17,311938,88
2021-01-18,288805,88
2021-01-19,288805,88
2021-01-20,288805,88
2021-01-21,288805,88
2021-01-22,260338,88
2021-01-23,260338,88
2021-01-24,260338,88
2021-01-25,260338,88
2021-01-26,260338,88
2021-01-27,262144,88
2021-01-28,262144,88
2021-01-29,262144,88
2021-01-30,262144,88
2021-01-31,262144,88
2021-02-01,256418,88
2021-02-02,256418,88
2021-02-03,256418,88
2021-02-04,256418,88
2021-02-05,256418,88
2021-02-06,264606,88
2021-02-07,264606,88
2021-02-08,264606,88
2021-02-09,264606,88
2021-02-10,274091,88
2021-02-11,275065,88
2021-02-12,275455,88
2021-02-13,276142,88
2021-02-14,276142,88
2021-02-15,277180,88
2021-02-16,277635,88
2021-02-18,275983,88
2021-02-19,274311,88
2021-02-20,273478,88
2021-02-21,271965,88
2021-02-22,270207,88
2021-02-23,267163,88
2021-02-24,263350,88
2021-02-25,259461,88
2021-02-26,260248,88
2021-02-27,260749,88
2021-02-28,261024,88
2021-03-01,261316,88
2021-03-02,261246,88
2021-03-03,260944,88
2021-03-04,259941,88
