date,listeners,rank
2020-01-15,173225,93
2020-01-16,172489,93
2020-01-17,170951,93
2020-01-19,168565,93
2020-01-20,167032,93
2020-01-21,165356,93
2020-01-22,163340,93
2020-01-23,161074,93
2020-01-24,159038,93
2020-01-25,157207,93
2020-01-26,155459,93
2020-01-27,153602,93
2020-01-28,151342,93
2020-01-30,146228,93
2020-01-31,144940,93
2020-02-01,143831,93
2020-02-03,141761,93
2020-02-04,141262,93
2020-02-05,140790,93
2020-02-06,140633,93
2020-02-07,140310,93
2020-02-08,139962,93
2020-02-09,139702,93
2020-02-10,139334,93
2020-02-13,138019,93
2020-02-14,138352,93
2020-02-15,138637,93
2020-02-16,138351,93
2020-02-17,138271,93
2020-02-18,138172,93
2020-02-19,137975,93
2020-02-20,137776,93
2020-02-21,137504,93
2020-02-22,137040,93
2020-02-23,136310,93
2020-02-24,135796,93
2020-02-25,135351,93
2020-02-26,135220,93
2020-02-27,134852,93
2020-02-28,134508,93
2020-02-29,134237,93
2020-03-01,134098,93
2020-03-02,133631,93
2020-03-03,133321,93
2020-03-04,133102,93
2020-03-05,132805,93
2020-03-06,132848,93
2020-03-08,132755,93
2020-03-09,132675,93
2020-03-10,132702,93
2020-03-11,132818,93
2020-03-13,132669,93
2020-03-14,132433,93
2020-03-15,132291,93
2020-03-16,132049,93
2020-03-17,131653,93
2020-03-18,131759,93
2020-03-19,132465,93
2020-03-20,133322,93
2020-03-21,134360,93
2020-03-22,135082,93
2020-03-23,135194,93
2020-03-24,134824,93
2020-03-25,135397,93
2020-03-26,135907,93
2020-03-27,136452,93
2020-03-28,136930,93
2020-03-29,137249,93
2020-03-30,137418,93
2020-03-31,137402,93
2020-04-01,138193,93
2020-04-23,126541,93
2020-04-25,125634,93
2020-04-26,124890,93
2020-04-27,124181,93
2020-04-28,123357,93
2020-04-29,122427,93
2020-04-30,121618,93
2020-05-01,120885,93
2020-05-02,120302,93
2020-05-03,121618,93
2020-05-04,121618,93
2020-05-05,118605,93
2020-05-06,118605,93
2020-05-07,118605,93
2020-05-08,118605,93
2020-05-09,118605,93
2020-05-10,116534,93
2020-05-11,116534,93
2020-05-12,116534,93
2020-05-13,116534,93
2020-05-14,116534,93
2020-05-15,115570,93
2020-05-16,115629,93
2020-05-17,115570,93
2020-05-18,115570,93
2020-05-19,115570,93
2020-05-20,115629,93
2020-05-21,116921,93
2020-05-22,116921,93
2020-05-23,116921,93
2020-05-24,116921,93
2020-05-25,117226,93
2020-05-26,117226,93
2020-05-27,117226,93
2020-05-28,117226,93
2020-05-29,117226,93
2020-05-30,121737,93
2020-05-31,121737,93
2020-06-01,121737,93
2020-06-02,121737,93
2020-06-03,121737,93
2020-06-04,165779,93
2020-06-05,165779,93
2020-06-06,165779,93
2020-06-07,165779,93
2020-06-08,165779,93
2020-06-09,206884,93
2020-06-10,206884,93
2020-06-11,206884,93
2020-06-12,206884,93
2020-06-14,226120,93
2020-06-15,226120,93
2020-06-16,226120,93
2020-06-17,226120,93
2020-06-18,226120,93
2020-06-19,244019,93
2020-06-20,244019,93
2020-06-21,244019,93
2020-06-22,244019,93
2020-06-23,255719,93
2020-06-24,258924,93
2020-06-25,258924,93
2020-06-26,258924,93
