date,listeners,rank
2020-01-23,165213,41
2020-01-24,164865,41
2020-01-25,164994,41
2020-01-26,164837,41
2020-01-27,163984,41
2020-01-28,163108,41
2020-01-30,160714,41
2020-01-31,159800,41
2020-02-01,159003,41
2020-02-03,157426,41
2020-02-04,156869,41
2020-02-05,156317,41
2020-02-06,156008,41
2020-02-07,155612,41
2020-02-08,154985,41
2020-02-09,154354,41
2020-02-10,153545,41
2020-02-12,152000,41
2020-02-13,151195,41
2020-02-14,150925,41
2020-02-15,150724,41
2020-02-16,150297,41
2020-02-17,149635,41
2020-02-18,149156,41
2020-02-19,148699,41
2020-02-20,147825,41
2020-02-21,147251,41
2020-02-22,146137,41
2020-02-23,145355,41
2020-02-24,145193,41
2020-02-25,144471,41
2020-02-26,143206,41
2020-02-27,142595,41
2020-02-28,142429,41
2020-02-29,142534,41
2020-03-01,142838,41
2020-03-02,143038,41
2020-03-03,143109,41
2020-03-04,143128,41
2020-03-05,143242,41
2020-03-06,143091,41
2020-03-08,142814,41
2020-03-09,142912,41
2020-03-10,143209,41
2020-03-11,143483,41
2020-03-13,143503,41
2020-03-14,143310,41
2020-03-15,143234,41
2020-03-16,143256,41
2020-03-17,142976,41
2020-03-18,142889,41
2020-03-19,142961,41
2020-03-20,142686,41
2020-03-21,142087,41
2020-03-22,141288,41
2020-03-23,140221,41
2020-03-24,139347,41
2020-03-25,138979,41
2020-03-26,138507,41
2020-03-27,138085,41
2020-03-28,137328,41
2020-03-29,136086,41
2020-03-30,134671,41
2020-03-31,133378,41
2020-04-01,132627,41
2020-04-23,103588,41
2020-04-25,102656,41
2020-04-26,102106,41
2020-04-27,101499,41
2020-04-28,100872,41
2020-04-29,100219,41
2020-04-30,99573,41
2020-05-01,98959,41
2020-05-02,98276,41
2020-05-03,99573,41
2020-05-04,99573,41
2020-05-05,97742,41
2020-05-06,97742,41
2020-05-07,97742,41
2020-05-08,97742,41
2020-05-09,97742,41
2020-05-10,97940,41
2020-05-11,97940,41
2020-05-12,97940,41
2020-05-13,97940,41
2020-05-14,97940,41
2020-05-15,97455,41
2020-05-16,97469,41
2020-05-17,97455,41
2020-05-18,97455,41
2020-05-19,97455,41
2020-05-20,97469,41
2020-05-21,97143,41
2020-05-22,97143,41
2020-05-23,97143,41
2020-05-24,97143,41
2020-05-25,100262,41
2020-05-26,100262,41
2020-05-27,100262,41
2020-05-28,100262,41
2020-05-29,100262,41
2020-05-30,108181,41
2020-05-31,108181,41
2020-06-01,108181,41
2020-06-02,108181,41
2020-06-03,108181,41
2020-06-04,141214,41
2020-06-05,141214,41
2020-06-06,141214,41
2020-06-07,141214,41
2020-06-08,141214,41
2020-06-09,172868,41
2020-06-10,172868,41
2020-06-11,172868,41
2020-06-12,172868,41
2020-06-14,191164,41
2020-06-15,191164,41
2020-06-16,191164,41
2020-06-17,191164,41
2020-06-18,191164,41
2020-06-19,212205,41
2020-06-20,212205,41
2020-06-21,212205,41
2020-06-22,212205,41
2020-06-23,227499,41
2020-06-24,231084,41
2020-06-25,231084,41
2020-06-26,231084,41
2020-06-27,231084,41
2020-06-28,231084,41
2020-06-29,245035,41
2020-06-30,253759,41
2020-07-01,261041,41
2020-07-02,261041,41
2020-07-03,261041,41
2020-07-04,261041,41
2020-07-05,261041,41
2020-07-06,290462,41
2020-07-07,290462,41
2020-07-08,290462,41
2020-07-09,290462,41
2020-07-10,290462,41
2020-07-11,313838,41
2020-07-12,313838,41
2020-07-13,313838,41
2020-07-14,313838,41
2020-07-15,313838,41
2020-07-16,327004,41
2020-07-17,327004,41
2020-07-18,327004,41
2020-07-19,327004,41
2020-07-20,327004,41
2020-07-21,343896,41
2020-07-22,343896,41
2020-07-23,343896,41
2020-07-24,343896,41
2020-07-25,343896,41
2020-07-26,359367,41
2020-07-27,359367,41
2020-07-28,359367,41
2020-07-29,359367,41
2020-07-30,355838,41
2020-07-31,355838,41
2020-08-01,355838,41
2020-08-02,355838,41
2020-08-03,355838,41
2020-08-04,349963,41
