date,listeners,rank
2019-12-09,350523,132
2019-12-10,352233,132
2019-12-12,357023,132
2019-12-13,358205,132
2019-12-15,360393,132
2019-12-16,361037,132
2019-12-17,361485,132
2019-12-18,362709,132
2019-12-19,363688,132
2019-12-20,365475,132
2019-12-21,366609,132
2019-12-22,367964,132
2019-12-27,372960,132
2019-12-28,372960,132
2019-12-29,373945,132
2019-12-30,374713,132
2019-12-31,374849,132
2020-01-01,376206,132
2020-01-02,377169,132
2020-01-03,376456,132
2020-01-04,374787,132
2020-01-05,372167,132
2020-01-06,369899,132
2020-01-07,367443,132
2020-01-08,364944,132
2020-01-09,362944,132
2020-01-11,360848,132
2020-01-12,359719,132
2020-01-13,358882,132
2020-01-14,358074,132
2020-01-15,356959,132
2020-01-16,355857,132
2020-01-17,354493,132
2020-01-19,352001,132
2020-01-20,351091,132
2020-01-21,350931,132
2020-01-22,349869,132
2020-01-23,349255,132
2020-01-24,349485,132
2020-01-25,348904,132
2020-01-26,348189,132
2020-01-27,347617,132
2020-01-28,347203,132
2020-01-30,344065,132
2020-01-31,344942,132
2020-02-01,344572,132
2020-02-02,343843,132
2020-02-03,343426,132
2020-02-04,343182,132
2020-02-05,343171,132
2020-02-06,343273,132
2020-02-07,343803,132
2020-02-08,344214,132
2020-02-09,344388,132
2020-02-10,345084,132
2020-02-12,345734,132
2020-02-13,346075,132
2020-02-14,345897,132
2020-02-15,346159,132
2020-02-16,345958,132
2020-02-17,345825,132
2020-02-18,345630,132
2020-02-19,345139,132
2020-02-20,344542,132
2020-02-21,343989,132
2020-02-22,344516,132
2020-02-23,345055,132
2020-02-24,345874,132
2020-02-25,346120,132
2020-02-26,346892,132
2020-02-27,347141,132
2020-02-28,347304,132
2020-02-29,347394,132
2020-03-01,347452,132
2020-03-02,347530,132
2020-03-03,347289,132
2020-03-04,346934,132
2020-03-05,346628,132
2020-03-06,345962,132
2020-03-08,344748,132
2020-03-09,344153,132
2020-03-10,343643,132
2020-03-11,343111,132
2020-03-13,342407,132
2020-03-14,342058,132
2020-03-15,341711,132
2020-03-16,341025,132
2020-03-17,340195,132
2020-03-18,340717,132
