date,followers,difference
2017-09-30,5766953,11861
2017-10-01,5780149,13196
2017-10-02,5793070,12921
2017-10-03,5802182,9112
2017-10-04,5812158,9976
2017-10-05,5822114,9956
2017-10-06,5830659,8545
2017-10-07,5842290,11631
2017-10-08,5857675,15385
2017-10-09,5872352,14677
2017-10-10,5885018,12666
2017-10-11,5896494,11476
2017-10-12,5907168,10674
2017-10-13,5918400,11232
2017-10-14,5931087,12687
2017-10-15,5946219,15132
2017-10-16,5958562,12343
2017-10-17,5969682,11120
2017-10-18,5980672,10990
2017-10-19,5992225,11553
2017-10-20,6005372,13147
2017-10-21,6020727,15355
2017-10-22,6034943,14216
2017-10-23,6051305,16362
2017-10-24,6061194,9889
2017-10-25,6072480,11286
2017-10-26,6084703,12223
2017-10-27,6098420,13717
2017-10-28,6111377,12957
2017-10-29,6124637,13260
2017-10-30,6138443,13806
2017-10-31,6151559,13116
2017-11-01,6163740,12181
2017-11-02,6176048,12308
2017-11-03,6188154,12106
2017-11-04,6201474,13320
2017-11-05,6216163,14689
2017-11-06,6231099,14936
2017-11-07,6242442,11343
2017-11-08,6254532,12090
2017-11-09,6265748,11216
2017-11-10,6280085,14337
2017-11-11,6295438,15353
2017-11-12,6310492,15054
2017-11-13,6325166,14674
2017-11-14,6336817,11651
2017-11-15,6348415,11598
2017-11-16,6359911,11496
2017-11-17,6370656,10745
2017-11-18,6382815,12159
2017-11-19,6397857,15042
2017-11-20,6412348,14491
2017-11-21,6427106,14758
2017-11-22,6439416,12310
2017-11-23,6451286,11870
2017-11-24,6464546,13260
2017-11-25,6479431,14885
2017-11-26,6498142,18711
2017-11-27,6514456,16314
2017-11-28,6528028,13572
2017-11-29,6540512,12484
2017-11-30,6552918,12406
2017-12-01,6571193,18275
2017-12-02,6586347,15154
2017-12-03,6604023,17676
2017-12-04,6618887,14864
2017-12-05,6632222,13335
2017-12-06,6646863,14641
2017-12-07,6659912,13049
2017-12-08,6672820,12908
2017-12-09,6686115,13295
