date,likes,difference
2017-09-17,1169075,2434
2017-09-18,1171050,1975
2017-09-19,1172384,1334
2017-09-20,1172834,450
2017-09-21,1174216,1382
2017-09-22,1175875,1659
2017-09-23,1177394,1519
2017-09-24,1179546,2152
2017-09-25,1181377,1831
2017-09-26,1182713,1336
2017-09-27,1183938,1225
2017-09-28,1185251,1313
2017-09-29,1186747,1496
2017-09-30,1188299,1552
2017-10-01,1190489,2190
2017-10-02,1192232,1743
2017-10-03,1193269,1037
2017-10-04,1194698,1429
2017-10-05,1196318,1620
2017-10-06,1197644,1326
2017-10-07,1199413,1769
2017-10-08,1201347,1934
2017-10-09,1203197,1850
2017-10-10,1204505,1308
2017-10-11,1205799,1294
2017-10-12,1206961,1162
2017-10-13,1208401,1440
2017-10-14,1209996,1595
2017-10-15,1212140,2144
2017-10-16,1214066,1926
2017-10-17,1215273,1207
2017-10-18,1216720,1447
2017-10-19,1217773,1053
2017-10-20,1219256,1483
2017-10-21,1220958,1702
2017-10-22,1223159,2201
2017-10-23,1225594,2435
2017-10-24,1227212,1618
2017-10-25,1228867,1655
2017-10-26,1230388,1521
2017-10-27,1232225,1837
2017-10-28,1233988,1763
2017-10-29,1235989,2001
2017-10-30,1238046,2057
2017-10-31,1239939,1893
2017-11-01,1241598,1659
2017-11-02,1243110,1512
2017-11-03,1245140,2030
2017-11-04,1247157,2017
2017-11-05,1249666,2509
2017-11-06,1251805,2139
2017-11-07,1253238,1433
2017-11-08,1254667,1429
2017-11-09,1255696,1029
2017-11-10,1257348,1652
2017-11-11,1259189,1841
2017-11-12,1261274,2085
2017-11-13,1263255,1981
2017-11-14,1264759,1504
2017-11-15,1266372,1613
2017-11-16,1268014,1642
2017-11-17,1269687,1673
2017-11-18,1271526,1839
2017-11-19,1273830,2304
2017-11-20,1275772,1942
2017-11-21,1277171,1399
2017-11-22,1278610,1439
2017-11-23,1280192,1582
2017-11-24,1283666,3474
2017-11-25,1285785,2119
2017-11-26,1288284,2499
2017-11-27,1290642,2358
2017-11-28,1292332,1690
2017-11-29,1293908,1576
2017-11-30,1295551,1643
2017-12-01,1297467,1916
