date,followers,followerdifference,likes,likesdifference
2021-03-02,21300000,0,164800000,100000
2021-03-03,21300000,0,164900000,100000
2021-03-04,21300000,0,165000000,100000
2021-03-05,21300000,0,165200000,200000
2021-03-06,21300000,0,165300000,100000
2021-03-07,21400000,100000,165400000,100000
2021-03-08,21400000,0,165600000,200000
2021-03-09,21400000,0,166800000,1200000
2021-03-10,21400000,0,167100000,300000
2021-03-11,21500000,100000,168000000,900000
2021-03-12,21500000,0,168300000,300000
2021-03-13,21600000,100000,170000000,1700000
2021-03-14,21600000,0,170500000,500000
2021-03-15,21600000,0,170900000,400000
2021-03-16,21600000,0,171200000,300000
2021-03-17,21700000,100000,171400000,200000
2021-03-18,21700000,0,171600000,200000
2021-03-19,21700000,0,171700000,100000
2021-03-20,21700000,0,171900000,200000
2021-03-21,21800000,100000,172200000,300000
2021-03-22,21800000,0,172300000,100000
2021-03-23,21800000,0,172500000,200000
2021-03-24,21800000,0,172600000,100000
2021-03-25,21800000,0,172700000,100000
2021-03-26,21800000,0,172900000,200000
2021-03-27,21900000,100000,173000000,100000
2021-03-28,21900000,0,173200000,200000
2021-03-29,21900000,0,173300000,100000
2021-03-30,21900000,0,173400000,100000
2021-03-31,21900000,0,173500000,100000
2021-04-01,21900000,0,173700000,200000
2021-04-02,21900000,0,173800000,100000
2021-04-03,22000000,100000,173900000,100000
2021-04-04,22000000,0,174000000,100000
2021-04-05,22000000,0,174300000,300000
2021-04-06,22000000,0,174400000,100000
2021-04-07,22000000,0,174600000,200000
2021-04-08,22100000,100000,174700000,100000
2021-04-09,22100000,0,174800000,100000
2021-04-10,22100000,0,174900000,100000
2021-04-11,22100000,0,175100000,200000
2021-04-12,22100000,0,175200000,100000
2021-04-13,22100000,0,175300000,100000
2021-04-14,22100000,0,175400000,100000
2021-04-15,22200000,100000,175500000,100000
2021-04-16,22200000,0,175600000,100000
2021-04-17,22200000,0,175700000,100000
2021-04-18,22200000,0,175800000,100000
2021-04-19,22200000,0,175900000,100000
2021-04-20,22200000,0,176000000,100000
2021-04-21,22200000,0,176100000,100000
2021-04-22,22300000,100000,176200000,100000
2021-04-23,22300000,0,176300000,100000
2021-04-24,22300000,0,176400000,100000
2021-04-25,22300000,0,176500000,100000
2021-04-26,22300000,0,176600000,100000
2021-04-27,22300000,0,176700000,100000
2021-04-28,22400000,100000,176800000,100000
2021-04-29,22400000,0,177000000,200000
2021-04-30,22400000,0,177100000,100000
2021-05-01,22400000,0,177200000,100000
2021-05-02,22400000,0,177300000,100000
2021-05-03,22400000,0,177400000,100000
2021-05-04,22500000,100000,177500000,100000
2021-05-05,22500000,0,177600000,100000
2021-05-06,22500000,0,177700000,100000
2021-05-07,22500000,0,177800000,100000
2021-05-08,22500000,0,178000000,200000
2021-05-09,22500000,0,178100000,100000
2021-05-10,22600000,100000,178200000,100000
2021-05-11,22600000,0,178300000,100000
2021-05-12,22600000,0,178400000,100000
2021-05-13,22600000,0,178500000,100000
2021-05-14,22600000,0,178600000,100000
2021-05-15,22600000,0,178700000,100000
2021-05-16,22600000,0,178800000,100000
2021-05-17,22700000,100000,178900000,100000
2021-05-18,22700000,0,179000000,100000
2021-05-19,22700000,0,179100000,100000
2021-05-20,22700000,0,179200000,100000
2021-05-21,22700000,0,179300000,100000
2021-05-22,22700000,0,179400000,100000
2021-05-23,22700000,0,179600000,200000
2021-05-24,22800000,100000,179700000,100000
2021-05-25,22800000,0,179800000,100000
2021-05-26,22800000,0,179900000,100000
2021-05-27,22800000,0,180000000,100000
2021-05-28,22800000,0,180100000,100000
2021-05-29,22800000,0,180200000,100000
2021-05-30,22900000,100000,180300000,100000
2021-05-31,22900000,0,180400000,100000
2021-06-01,22900000,0,180500000,100000
2021-06-02,22900000,0,180600000,100000
2021-06-03,22900000,0,180700000,100000
2021-06-04,22900000,0,180800000,100000
2021-06-05,22900000,0,180900000,100000
2021-06-06,23000000,100000,181000000,100000
2021-06-07,23000000,0,181100000,100000
2021-06-08,23000000,0,181300000,200000
2021-06-09,23000000,0,181400000,100000
2021-06-10,23000000,0,181500000,100000
2021-06-11,23000000,0,181600000,100000
2021-06-12,23000000,0,181700000,100000
2021-06-13,23100000,100000,181800000,100000
2021-06-14,23100000,0,181900000,100000
2021-06-15,23100000,0,182000000,100000
2021-06-16,23100000,0,182100000,100000
2021-06-17,23100000,0,182200000,100000
2021-06-18,23100000,0,182300000,100000
2021-06-19,23100000,0,182400000,100000
2021-06-20,23200000,100000,182500000,100000
2021-06-21,23200000,0,182600000,100000
2021-06-22,23200000,0,182700000,100000
2021-06-23,23200000,0,182800000,100000
2021-06-24,23200000,0,183600000,800000
2021-06-25,23200000,0,184300000,700000
2021-06-26,23300000,100000,184800000,500000
2021-06-27,23300000,0,185200000,400000
2021-06-28,23300000,0,185400000,200000
2021-06-29,23300000,0,185600000,200000
2021-06-30,23300000,0,185800000,200000
2021-07-01,23300000,0,186400000,600000
2021-07-02,23400000,100000,186700000,300000
2021-07-03,23400000,0,186800000,100000
2021-07-04,23400000,0,187000000,200000
2021-07-05,23400000,0,187200000,200000
2021-07-06,23400000,0,187300000,100000
2021-07-07,23400000,0,187400000,100000
2021-07-08,23400000,0,187600000,200000
2021-07-09,23500000,100000,187900000,300000
2021-07-10,23500000,0,188100000,200000
2021-07-11,23500000,0,188200000,100000
2021-07-12,23500000,0,188300000,100000
2021-07-13,23500000,0,188500000,200000
2021-07-14,23500000,0,188600000,100000
2021-07-15,23500000,0,188900000,300000
2021-07-16,23600000,100000,189200000,300000
2021-07-17,23600000,0,189400000,200000
2021-07-18,23600000,0,189600000,200000
2021-07-19,23600000,0,189700000,100000
2021-07-20,23600000,0,189900000,200000
2021-07-21,23600000,0,190000000,100000
2021-07-22,23600000,0,190200000,200000
2021-07-23,23700000,100000,190300000,100000
2021-07-24,23700000,0,190500000,200000
2021-07-25,23700000,0,190600000,100000
2021-07-26,23700000,0,190700000,100000
2021-07-27,23700000,0,190800000,100000
2021-07-28,23700000,0,191000000,200000
2021-07-29,23800000,100000,191300000,300000
2021-07-30,23800000,0,191800000,500000
2021-07-31,23800000,0,192000000,200000
2021-08-01,23800000,0,192100000,100000
2021-08-02,23800000,0,192200000,100000
2021-08-03,23800000,0,192400000,200000
2021-08-04,23800000,0,192500000,100000
2021-08-05,23900000,100000,192700000,200000
2021-08-06,23900000,0,192800000,100000
2021-08-07,23900000,0,192900000,100000
2021-08-08,23900000,0,193100000,200000
2021-08-09,23900000,0,193300000,200000
2021-08-10,23900000,0,193400000,100000
2021-08-11,24000000,100000,193500000,100000
2021-08-12,24000000,0,193600000,100000
2021-08-13,24000000,0,193700000,100000
2021-08-15,24000000,0,193900000,200000
2021-08-16,24000000,0,194000000,100000
2021-08-17,24000000,0,194100000,100000
2021-08-18,24000000,0,194200000,100000
2021-08-19,24100000,100000,194300000,100000
2021-08-20,24100000,0,194400000,100000
2021-08-21,24100000,0,194500000,100000
2021-08-22,24100000,0,194600000,100000
2021-08-23,24100000,0,194700000,100000
2021-08-24,24100000,0,194800000,100000
2021-08-25,24100000,0,194900000,100000
2021-08-26,24100000,0,195000000,100000
2021-08-27,24200000,100000,195100000,100000
2021-08-29,24200000,0,196300000,1200000
2021-08-30,24200000,0,196400000,100000
2021-08-31,24200000,0,196600000,200000
2021-09-01,24300000,100000,197000000,400000
2021-09-03,24300000,0,197700000,700000
2021-09-04,24300000,0,198000000,300000
2021-09-05,24300000,0,198200000,200000
2021-09-06,24300000,0,198300000,100000
2021-09-07,24300000,0,198400000,100000
2021-09-08,24400000,100000,199900000,1500000
2021-09-09,24500000,100000,201100000,1200000
2021-09-10,24500000,0,201700000,600000
2021-09-11,24900000,400000,205400000,3700000
2021-09-12,25100000,200000,207700000,2300000
2021-09-13,25200000,100000,211300000,3600000
2021-09-14,25300000,100000,212500000,1200000
2021-09-15,25300000,0,213300000,800000
2021-09-16,25400000,100000,213900000,600000
2021-09-17,25400000,0,214400000,500000
2021-09-18,25500000,100000,214900000,500000
2021-09-19,25500000,0,215300000,400000
2021-09-20,25500000,0,215700000,400000
2021-09-21,25500000,0,216000000,300000
2021-09-22,25600000,100000,216300000,300000
2021-09-23,25600000,0,216600000,300000
2021-09-24,25600000,0,216900000,300000
2021-09-25,25800000,200000,217900000,1000000
2021-09-26,25900000,100000,218300000,400000
2021-09-27,26000000,100000,218700000,400000
2021-09-28,26000000,0,218900000,200000
2021-09-29,26000000,0,219100000,200000
2021-09-30,26000000,0,219300000,200000
2021-10-01,26100000,100000,219500000,200000
2021-10-02,26100000,0,219700000,200000
2021-10-03,26100000,0,219900000,200000
2021-10-04,26100000,0,220100000,200000
2021-10-06,26200000,100000,220500000,400000
2021-10-07,26200000,0,220600000,100000
2021-10-08,26200000,0,220800000,200000
2021-10-09,26200000,0,220900000,100000
2021-10-10,26200000,0,221100000,200000
2021-10-11,26200000,0,221300000,200000
2021-10-12,26300000,100000,221400000,100000
2021-10-13,26300000,0,221600000,200000
2021-10-14,26300000,0,221700000,100000
2021-10-15,26300000,0,222000000,300000
2021-10-17,26300000,0,222500000,500000
2021-10-18,26400000,100000,222700000,200000
2021-10-19,26400000,0,222900000,200000
2021-10-20,26400000,0,223000000,100000
2021-10-22,26400000,0,223300000,300000
2021-10-23,26500000,100000,223600000,300000
2021-10-24,26500000,0,223900000,300000
2021-10-25,26500000,0,224100000,200000
2021-10-26,26500000,0,224300000,200000
2021-10-27,26500000,0,224400000,100000
2021-10-28,26500000,0,224600000,200000
2021-10-29,26600000,100000,226900000,2300000
2021-10-30,26700000,100000,228900000,2000000
2021-10-31,26700000,0,230200000,1300000
2021-11-01,26800000,100000,230800000,600000
2021-11-02,26800000,0,231200000,400000
2021-11-03,26800000,0,231500000,300000
2021-11-04,26800000,0,231800000,300000
2021-11-06,26900000,100000,232300000,500000
2021-11-07,26900000,0,232500000,200000
2021-11-08,26900000,0,232700000,200000
2021-11-09,26900000,0,232900000,200000
2021-11-10,26900000,0,233100000,200000
2021-11-11,26900000,0,233200000,100000
2021-11-12,27000000,100000,233400000,200000
2021-11-13,27000000,0,233500000,100000
2021-11-15,27000000,0,233900000,400000
2021-11-16,27000000,0,234000000,100000
2021-11-17,27100000,100000,234200000,200000
2021-11-18,27100000,0,234300000,100000
2021-11-19,27100000,0,234500000,200000
2021-11-20,27100000,0,234600000,100000
