Date,Followers,Follower Difference
2020-02-07,10538516,10593
2020-02-08,10549937,11421
2020-02-09,10562130,12193
2020-02-10,10576410,14280
2020-02-12,10600645,24235
2020-02-13,10611631,10986
2020-02-14,10622683,11052
2020-02-15,10634322,11639
2020-02-16,10645821,11499
2020-02-17,10660315,14494
2020-02-18,10686370,26055
2020-02-19,10686370,0
2020-02-20,10697199,10829
2020-02-21,10708836,11637
2020-02-22,10721210,12374
2020-02-23,10744046,22836
2020-02-24,10761751,17705
2020-02-25,10777042,15291
2020-02-26,10789336,12294
2020-02-27,10801050,11714
2020-02-28,10811980,10930
2020-02-29,10822944,10964
2020-03-01,10834626,11682
2020-03-02,10848375,13749
2020-03-03,10861757,13382
2020-03-04,10872315,10558
2020-03-05,10882790,10475
2020-03-06,10893430,10640
2020-03-08,10916864,23434
2020-03-09,10930304,13440
2020-03-10,10943731,13427
2020-03-11,10954693,10962
2020-03-13,10976374,21681
2020-03-14,10987315,10941
2020-03-15,10999570,12255
2020-03-16,11013064,13494
2020-03-17,11026403,13339
2020-03-18,11038747,12344
2020-03-19,11051399,12652
2020-03-20,11064840,13441
2020-03-21,11078417,13577
2020-03-22,11091616,13199
2020-03-23,11104403,12787
2020-03-24,11117246,12843
2020-03-25,11130170,12924
2020-03-26,11143037,12867
2020-03-27,11154862,11825
2020-03-28,11167642,12780
2020-03-29,11180134,12492
2020-03-30,11193254,13120
2020-03-31,11205864,12610
2020-04-01,11219084,13220
2020-04-02,11232439,13355
2020-04-03,11245284,12845
2020-04-04,11259019,13735
2020-04-05,11272637,13618
2020-04-06,11286587,13950
2020-04-07,11300304,13717
2020-04-08,11314514,14210
2020-04-09,11327973,13459
2020-04-10,11341845,13872
2020-04-11,11355870,14025
2020-04-12,11369507,13637
2020-04-13,11383121,13614
2020-04-14,11396574,13453
2020-04-15,11410348,13774
2020-04-16,11424202,13854
2020-04-17,11438181,13979
2020-04-18,11452244,14063
2020-04-19,11465973,13729
2020-04-20,11479104,13131
2020-04-21,11492122,13018
2020-04-23,11519037,26915
2020-04-25,11546589,27552
2020-04-26,11559946,13357
2020-04-27,11573286,13340
2020-04-28,11586413,13127
2020-04-29,11599611,13198
2020-04-30,11609741,10130
2020-05-01,11611270,1529
2020-05-02,11547882,-63388
2020-05-03,11609741,61859
2020-05-04,11609741,0
2020-05-05,11587821,-21920
2020-05-06,11587821,0
2020-05-07,11587821,0
2020-05-08,11587821,0
2020-05-09,11587821,0
2020-05-10,11664377,76556
2020-05-11,11664377,0
2020-05-12,11664377,0
2020-05-13,11664377,0
2020-05-14,11664377,0
2020-05-15,11733462,69085
2020-05-16,11748172,14710
2020-05-17,11733462,-14710
2020-05-18,11733462,0
2020-05-19,11733462,0
2020-05-20,11748172,14710
2020-05-21,11806748,58576
2020-05-22,11806748,0
2020-05-23,11806748,0
2020-05-24,11806748,0
2020-05-25,11901351,94603
2020-05-26,11901351,0
2020-05-27,11901351,0
2020-05-28,11901351,0
2020-05-29,11901351,0
2020-05-30,11992021,90670
2020-05-31,11992021,0
2020-06-01,12011847,19826
2020-06-02,11992021,-19826
2020-06-03,11992021,0
2020-06-04,12073918,81897
2020-06-05,12073918,0
2020-06-06,12073918,0
2020-06-07,12073918,0
2020-06-08,12073918,0
2020-06-09,12143985,70067
2020-06-10,12143985,0
2020-06-11,12158098,14113
2020-06-12,12143985,-14113
2020-06-14,12199668,55683
2020-06-15,12199668,0
2020-06-16,12199668,0
2020-06-17,12199668,0
2020-06-18,12199668,0
2020-06-19,12268528,68860
2020-06-20,12268528,0
2020-06-21,12268528,0
2020-06-22,12268528,0
2020-06-23,12339112,70584
2020-06-24,12369182,30070
2020-06-25,12369182,0
2020-06-26,12369182,0
2020-06-27,12369182,0
2020-06-28,12369182,0
2020-06-29,12499380,130198
2020-06-30,12527005,27625
2020-07-01,12552338,25333
2020-07-02,12552338,0
2020-07-03,12552338,0
2020-07-04,12552338,0
2020-07-05,12552338,0
2020-07-06,12658403,106065
2020-07-07,12658403,0
2020-07-08,12658403,0
2020-07-09,12658403,0
2020-07-10,12658403,0
2020-07-11,12759975,101572
2020-07-12,12759975,0
2020-07-13,12759975,0
2020-07-14,12759975,0
2020-07-15,12759975,0
2020-07-16,12904257,144282
2020-07-17,12904257,0
2020-07-18,12904257,0
2020-07-19,12904257,0
2020-07-20,12904257,0
2020-07-21,13124946,220689
2020-07-22,13124946,0
2020-07-23,13124946,0
2020-07-24,13124946,0
2020-07-25,13124946,0
2020-07-26,13261140,136194
2020-07-27,13261140,0
2020-07-28,13261140,0
2020-07-29,13261140,0
2020-07-30,13356112,94972
2020-07-31,13356112,0
