date,followerstolistenersratio,followerstolistenersratiodifference
2018-09-30,86.55,1.6400000000000006
2018-10-01,86.76,0.21000000000000796
2018-10-02,86.97,0.20999999999999375
2018-10-03,87.18,0.21000000000000796
2018-10-04,87.97,0.789999999999992
2018-10-06,88.49,0.519999999999996
2018-10-07,88.75,0.2600000000000051
2018-10-08,88.98,0.23000000000000398
2018-10-09,90.59,1.6099999999999994
2018-10-10,90.72,0.12999999999999545
2018-10-11,90.89,0.1700000000000017
2018-10-12,91.15,0.2600000000000051
2018-10-13,91.44,0.28999999999999204
2018-10-14,93.33,1.8900000000000006
2018-10-15,93.59,0.2600000000000051
2018-10-16,93.83,0.23999999999999488
2018-10-17,94.09,0.2600000000000051
2018-10-18,94.29,0.20000000000000284
2018-10-19,95.76,1.4699999999999989
2018-10-20,96.12,0.35999999999999943
2018-10-21,96.49,0.36999999999999034
2018-10-22,96.78,0.29000000000000625
2018-10-23,97.07,0.28999999999999204
2018-10-24,97.34,0.27000000000001023
2018-10-25,54.99,-42.35
2018-10-26,55.16,0.1699999999999946
2018-10-27,55.34,0.18000000000000682
2018-10-28,55.53,0.18999999999999773
2018-10-29,55.69,0.1599999999999966
2018-10-30,36.90,-18.79
2018-10-31,37.00,0.10000000000000142
2018-11-01,37.09,0.09000000000000341
2018-11-02,37.19,0.09999999999999432
2018-11-04,30.59,-6.599999999999998
2018-11-07,30.78,0.19000000000000128
2018-11-08,30.87,0.08999999999999986
2018-11-09,26.97,-3.900000000000002
2018-11-10,27.06,0.08999999999999986
2018-11-11,27.16,0.10000000000000142
2018-11-12,27.26,0.10000000000000142
2018-11-13,24.50,-2.7600000000000016
2018-11-14,24.18,-0.3200000000000003
2018-11-15,23.84,-0.33999999999999986
2018-11-16,23.52,-0.3200000000000003
2018-11-17,23.25,-0.2699999999999996
2018-11-18,23.61,0.35999999999999943
2018-11-19,23.66,0.05000000000000071
2018-11-20,23.69,0.030000000000001137
2018-11-21,23.79,0.09999999999999787
2018-11-22,23.97,0.17999999999999972
2018-11-23,24.18,0.21000000000000085
2018-11-24,24.47,0.28999999999999915
2018-11-25,24.81,0.33999999999999986
2018-11-26,25.15,0.33999999999999986
2018-11-27,25.41,0.26000000000000156
2018-11-28,25.64,0.23000000000000043
2018-11-29,25.82,0.17999999999999972
2018-11-30,26.04,0.21999999999999886
2018-12-01,26.27,0.23000000000000043
2018-12-02,26.55,0.28000000000000114
2018-12-03,26.77,0.21999999999999886
2018-12-04,26.97,0.1999999999999993
2018-12-05,27.18,0.21000000000000085
2018-12-06,27.44,0.26000000000000156
2018-12-07,27.71,0.2699999999999996
2018-12-08,27.97,0.259999999999998
2018-12-09,28.30,0.33000000000000185
2018-12-10,28.65,0.34999999999999787
2018-12-11,28.92,0.2700000000000031
2018-12-12,29.19,0.2699999999999996
2018-12-13,29.50,0.3099999999999987
2018-12-14,29.85,0.3500000000000014
2018-12-15,30.19,0.33999999999999986
2018-12-16,30.53,0.33999999999999986
2018-12-17,30.92,0.39000000000000057
2018-12-18,31.27,0.34999999999999787
2018-12-19,31.62,0.3500000000000014
2018-12-20,31.97,0.34999999999999787
2018-12-21,32.33,0.35999999999999943
2018-12-22,32.66,0.3299999999999983
2018-12-23,32.98,0.3200000000000003
2018-12-24,33.33,0.3500000000000014
2018-12-25,33.65,0.3200000000000003
2018-12-26,33.92,0.2700000000000031
2018-12-27,34.30,0.37999999999999545
2018-12-28,34.60,0.30000000000000426
2018-12-29,34.83,0.22999999999999687
2018-12-30,34.97,0.14000000000000057
2018-12-31,35.11,0.14000000000000057
2019-01-01,35.19,0.0799999999999983
2019-01-02,34.86,-0.3299999999999983
2019-01-03,35.00,0.14000000000000057
2019-01-04,35.01,0.00999999999999801
2019-01-05,34.95,-0.05999999999999517
2019-01-06,34.86,-0.09000000000000341
2019-01-07,34.77,-0.0899999999999963
2019-01-08,34.73,-0.04000000000000625
2019-01-09,34.69,-0.03999999999999915
2019-01-10,34.67,-0.01999999999999602
2019-01-11,34.67,0
2019-01-12,34.68,0.00999999999999801
2019-01-13,34.71,0.030000000000001137
2019-01-14,34.73,0.01999999999999602
2019-01-15,34.71,-0.01999999999999602
2019-01-16,34.78,0.07000000000000028
2019-01-17,34.90,0.11999999999999744
2019-01-18,34.97,0.07000000000000028
2019-01-19,35.08,0.10999999999999943
2019-01-20,35.27,0.19000000000000483
2019-01-21,35.45,0.17999999999999972
2019-01-22,35.62,0.1699999999999946
2019-01-23,35.83,0.21000000000000085
2019-01-24,35.98,0.14999999999999858
2019-01-25,36.20,0.22000000000000597
2019-01-26,36.51,0.30999999999999517
2019-01-27,36.78,0.2700000000000031
2019-01-28,37.08,0.29999999999999716
2019-01-29,37.43,0.3500000000000014
2019-01-30,38.24,0.8100000000000023
