date,monthlylisteners,monthlylistenersdifference
2019-03-20,10138094,-39078
2019-03-21,10100348,-37746
2019-03-22,10054035,-46313
2019-03-23,10013921,-40114
2019-03-24,9988981,-24940
2019-03-25,9944418,-44563
2019-03-26,9910614,-33804
2019-03-27,9874827,-35787
2019-03-28,9844593,-30234
2019-03-29,9814141,-30452
2019-03-30,9784118,-30023
2019-03-31,9764154,-19964
2019-04-01,9746551,-17603
2019-04-02,9729558,-16993
2019-04-03,9717436,-12122
2019-04-04,9706556,-10880
2019-04-05,9704908,-1648
2019-04-06,9823856,118948
2019-04-07,10415208,591352
2019-04-08,10916568,501360
2019-04-09,11371406,454838
2019-04-10,11828741,457335
2019-04-11,12298176,469435
2019-04-13,13337533,1039357
2019-04-15,14239875,902342
2019-04-17,14953599,713724
2019-04-19,15637871,684272
2019-04-23,16734637,1096766
2019-04-26,17428672,694035
2019-04-27,17637680,209008
2019-04-28,17821761,184081
2019-04-29,18015062,193301
2019-04-30,18177027,161965
2019-05-01,18339442,162415
2019-05-02,18512402,172960
2019-05-03,18691998,179596
2019-05-04,18825768,133770
2019-05-05,18742278,-83490
2019-05-06,18618905,-123373
2019-05-07,18618905,0
2019-05-08,18547044,-71861
2019-05-09,18323383,-223661
2019-05-10,18323383,0
2019-05-11,18136095,-187288
2019-05-12,17972153,-163942
2019-05-13,17819726,-152427
2019-05-15,17553579,-266147
2019-05-19,16864040,-689539
2019-05-20,16755483,-108557
2019-05-23,16536428,-219055
2019-05-26,16229431,-306997
2019-05-29,15993162,-236269
2019-06-01,15731839,-261323
2019-06-04,15275641,-456198
2019-06-07,14816947,-458694
2019-06-10,14365175,-451772
2019-06-13,13946378,-418797
2019-06-16,13513957,-432421
2019-06-18,13261003,-252954
2019-06-20,13014856,-246147
2019-06-21,12875655,-139201
2019-06-22,12739260,-136395
2019-06-23,12617739,-121521
2019-06-24,12503315,-114424
2019-06-25,12399228,-104087
2019-06-26,12285505,-113723
2019-06-27,12168355,-117150
2019-06-28,12050164,-118191
2019-06-29,11916046,-134118
2019-06-30,11860449,-55597
2019-07-01,11823154,-37295
2019-07-02,11796378,-26776
2019-07-03,11780172,-16206
2019-07-04,11760150,-20022
2019-07-05,11746950,-13200
2019-07-06,11735982,-10968
2019-07-07,11704047,-31935
2019-07-08,11667254,-36793
2019-07-09,11640339,-26915
2019-07-10,11628368,-11971
2019-07-11,11617128,-11240
2019-07-12,11610721,-6407
2019-07-13,11604839,-5882
2019-07-14,11592927,-11912
2019-07-15,11575513,-17414
2019-07-16,11560766,-14747
2019-07-17,11548080,-12686
2019-07-18,11531257,-16823
2019-07-19,11518868,-12389
2019-07-22,11437792,-81076
2019-07-23,11409541,-28251
2019-07-24,11388850,-20691
2019-07-25,11355699,-33151
2019-07-26,11318201,-37498
2019-07-27,11285259,-32942
2019-07-28,11248743,-36516
2019-07-29,11210158,-38585
2019-07-30,11174685,-35473
2019-07-31,11142725,-31960
2019-08-01,11111398,-31327
2019-08-02,11079922,-31476
2019-08-03,11050526,-29396
2019-08-04,11013574,-36952
2019-08-05,10985018,-28556
2019-08-06,10945769,-39249
2019-08-07,10913993,-31776
2019-08-08,10873872,-40121
2019-08-09,10830478,-43394
2019-08-10,10793162,-37316
2019-08-11,10773697,-19465
2019-08-13,10713448,-60249
2019-08-14,10692258,-21190
2019-08-15,10660173,-32085
2019-08-16,10621025,-39148
2019-08-17,10584258,-36767
2019-08-18,10560835,-23423
2019-08-19,10534512,-26323
2019-08-20,10506840,-27672
2019-08-21,10476655,-30185
2019-08-22,10448887,-27768
2019-08-23,10422676,-26211
2019-08-24,10391862,-30814
2019-08-25,10349805,-42057
2019-08-26,10306569,-43236
2019-08-27,10296943,-9626
2019-08-28,10273288,-23655
2019-08-29,10239797,-33491
2019-08-30,10206424,-33373
2019-08-31,10175842,-30582
2019-09-01,10151565,-24277
2019-09-02,10132650,-18915
2019-09-03,10119576,-13074
2019-09-04,10091181,-28395
2019-09-05,10070265,-20916
2019-09-06,10041101,-29164
2019-09-07,10009954,-31147
2019-09-08,9977373,-32581
2019-09-09,9955929,-21444
2019-09-10,9940281,-15648
2019-09-11,9902206,-38075
2019-09-12,9869711,-32495
2019-09-13,9848305,-21406
2019-09-14,9821909,-26396
2019-09-15,9794264,-27645
2019-09-16,9779881,-14383
2019-09-17,9761056,-18825
2019-09-18,9734480,-26576
2019-09-19,9705155,-29325
2019-09-20,9681741,-23414
2019-09-21,9651334,-30407
2019-09-22,9634569,-16765
2019-09-23,9632518,-2051
2019-09-25,9584853,-47665
2019-09-26,9560416,-24437
2019-09-27,9548568,-11848
2019-09-29,9507540,-41028
2019-10-01,9468151,-39389
2019-10-02,9448992,-19159
2019-10-03,9420972,-28020
2019-10-04,9398836,-22136
2019-10-05,9369430,-29406
2019-10-06,9351800,-17630
2019-10-07,9333672,-18128
2019-10-08,9315485,-18187
2019-10-09,9302237,-13248
2019-10-10,9279137,-23100
2019-10-11,9254407,-24730
2019-10-14,9189607,-64800
2019-10-15,9161005,-28602
2019-10-16,9142162,-18843
2019-10-17,9122069,-20093
2019-10-18,9108455,-13614
2019-10-19,9098915,-9540
2019-10-20,9103534,4619
2019-10-21,9094805,-8729
2019-10-22,9079463,-15342
2019-10-23,9075976,-3487
2019-10-24,9073755,-2221
2019-10-25,9071945,-1810
2019-10-26,9072398,453
2019-10-27,9068447,-3951
2019-10-28,9056544,-11903
2019-10-29,9039920,-16624
2019-10-30,9027698,-12222
2019-10-31,9021237,-6461
2019-11-01,9005719,-15518
2019-11-02,9005719,0
2019-11-03,8981588,-24131
2019-11-04,8960175,-21413
2019-11-05,8939833,-20342
2019-11-07,8921314,-18519
2019-11-08,8910505,-10809
2019-11-09,8899257,-11248
2019-11-10,8888725,-10532
2019-11-11,8887577,-1148
2019-11-12,8886549,-1028
2019-11-13,8883262,-3287
2019-11-14,8873537,-9725
2019-11-17,8814004,-59533
2019-11-18,8793962,-20042
2019-11-19,8780614,-13348
2019-11-20,8763018,-17596
2019-11-21,8742695,-20323
2019-11-22,8719725,-22970
2019-11-23,8698538,-21187
2019-11-24,8669407,-29131
2019-11-25,8648196,-21211
2019-11-26,8629365,-18831
2019-11-27,8621251,-8114
2019-11-28,8603416,-17835
2019-11-29,8590097,-13319
2019-11-30,8564716,-25381
2019-12-01,8544986,-19730
2019-12-03,8524642,-20344
2019-12-04,8510263,-14379
2019-12-07,8568788,58525
2019-12-08,8662568,93780
2019-12-09,8724641,62073
2019-12-10,8769185,44544
2019-12-12,8853699,84514
2019-12-13,8879649,25950
2019-12-15,8921731,42082
2019-12-16,8938617,16886
2019-12-17,8950798,12181
2019-12-18,8974455,23657
2019-12-19,8994135,19680
2019-12-20,9015684,21549
2019-12-21,9030936,15252
2019-12-22,9042900,11964
2019-12-27,9115440,72540
2019-12-28,9115440,0
2019-12-29,9138194,22754
2019-12-30,9155858,17664
2019-12-31,9173359,17501
2020-01-01,9213227,39868
2020-01-02,9286165,72938
2020-01-03,9287530,1365
2020-01-04,9248909,-38621
2020-01-05,9206575,-42334
2020-01-06,9175135,-31440
2020-01-07,9146949,-28186
2020-01-08,9127567,-19382
2020-01-09,9112487,-15080
2020-01-10,9097478,-15009
2020-01-11,9075756,-21722
2020-01-12,9059316,-16440
2020-01-13,9054298,-5018
2020-01-14,9046634,-7664
2020-01-15,9038429,-8205
2020-01-16,9022418,-16011
2020-01-17,9014477,-7941
2020-01-18,9009143,-5334
2020-01-19,9001887,-7256
2020-01-20,8999687,-2200
2020-01-21,8995439,-4248
2020-01-22,8976762,-18677
2020-01-23,8953696,-23066
2020-01-24,8963411,9715
2020-01-25,8961936,-1475
2020-01-26,8953237,-8699
2020-01-27,8937689,-15548
2020-01-28,8915270,-22419
2020-01-30,8790948,-124322
2020-01-31,8782844,-8104
2020-02-01,8774549,-8295
2020-02-03,8775344,795
2020-02-04,8773322,-2022
2020-02-05,8762439,-10883
2020-02-06,8752064,-10375
2020-02-07,8746597,-5467
2020-02-08,8744433,-2164
2020-02-09,8728606,-15827
2020-02-10,8720375,-8231
2020-02-12,8705704,-14671
2020-02-13,8700476,-5228
2020-02-14,8697401,-3075
2020-02-15,8701801,4400
2020-02-16,8697203,-4598
2020-02-17,8698052,849
2020-02-18,8695800,-2252
2020-02-19,8691199,-4601
2020-02-20,8684812,-6387
2020-02-21,8690263,5451
2020-02-22,8685659,-4604
2020-02-23,8688237,2578
2020-02-24,8693792,5555
2020-02-25,8697868,4076
2020-02-26,8701335,3467
2020-02-27,8695845,-5490
2020-02-28,8681432,-14413
2020-02-29,8667820,-13612
2020-03-01,8644961,-22859
2020-03-02,8625984,-18977
2020-03-03,8611244,-14740
2020-03-04,8603864,-7380
2020-03-05,8594235,-9629
2020-03-06,8583865,-10370
2020-03-08,8580174,-3691
2020-03-09,8589046,8872
2020-03-10,8592111,3065
2020-03-11,8596368,4257
2020-03-13,8584425,-11943
2020-03-14,8567014,-17411
2020-03-15,8546081,-20933
2020-03-16,8535190,-10891
2020-03-17,8525711,-9479
2020-03-18,8521077,-4634
2020-03-19,8514126,-6951
2020-03-20,8514590,464
2020-03-21,8513126,-1464
2020-03-22,8502102,-11024
2020-03-23,8489317,-12785
2020-03-24,8485416,-3901
2020-03-25,8490906,5490
2020-03-26,8498298,7392
2020-03-27,8508042,9744
2020-03-28,8524111,16069
2020-03-29,8534871,10760
2020-03-30,8532513,-2358
2020-03-31,8525126,-7387
2020-04-01,8533421,8295
2020-04-02,8537472,4051
2020-04-03,8533477,-3995
2020-04-04,8521229,-12248
2020-04-05,8491903,-29326
2020-04-06,8454816,-37087
2020-04-07,8423886,-30930
2020-04-08,8404781,-19105
2020-04-09,8388164,-16617
2020-04-10,8359109,-29055
2020-04-11,8330806,-28303
2020-04-12,8295143,-35663
2020-04-13,8266359,-28784
2020-04-14,8242161,-24198
2020-04-15,8227404,-14757
2020-04-16,8201672,-25732
2020-04-17,8175446,-26226
2020-04-18,8150171,-25275
2020-04-19,8130636,-19535
2020-04-20,8107237,-23399
2020-04-21,8085881,-21356
2020-04-23,8043247,-42634
2020-04-25,8015080,-28167
2020-04-26,7990405,-24675
2020-04-27,7971465,-18940
2020-04-28,7949910,-21555
2020-04-29,7924669,-25241
2020-04-30,7900437,-24232
2020-05-01,7885171,-15266
2020-05-02,7865502,-19669
2020-05-03,7900437,34935
2020-05-04,7900437,0
2020-05-05,7831813,-68624
2020-05-06,7831813,0
2020-05-07,7831813,0
2020-05-08,7831813,0
2020-05-09,7831813,0
2020-05-10,7822456,-9357
2020-05-11,7822456,0
2020-05-12,7822456,0
2020-05-13,7822456,0
2020-05-14,7822456,0
2020-05-15,7812871,-9585
2020-05-16,7804403,-8468
2020-05-17,7812871,8468
2020-05-18,7812871,0
2020-05-19,7812871,0
2020-05-20,7804403,-8468
2020-05-21,7829691,25288
2020-05-22,7829691,0
2020-05-23,7829691,0
2020-05-24,7829691,0
2020-05-25,7810755,-18936
2020-05-26,7810755,0
2020-05-27,7810755,0
2020-05-28,7810755,0
2020-05-29,7810755,0
2020-05-30,8635331,824576
2020-05-31,8635331,0
2020-06-01,8635331,0
2020-06-02,8635331,0
2020-06-03,8635331,0
2020-06-04,13730010,5094679
2020-06-05,13730010,0
2020-06-06,13730010,0
2020-06-07,13730010,0
2020-06-08,13730010,0
2020-06-09,17074643,3344633
2020-06-10,17074643,0
2020-06-11,17074643,0
2020-06-12,17074643,0
2020-06-14,18512374,1437731
2020-06-15,18512374,0
2020-06-16,18512374,0
2020-06-17,18512374,0
2020-06-18,18512374,0
2020-06-19,19925577,1413203
2020-06-20,19925577,0
2020-06-21,19925577,0
2020-06-22,19925577,0
2020-06-23,20814975,889398
2020-06-24,20985095,170120
2020-06-25,20985095,0
2020-06-26,20985095,0
2020-06-27,20985095,0
2020-06-28,20985095,0
2020-06-29,20956680,-28415
2020-06-30,20824403,-132277
2020-07-01,20791418,-32985
2020-07-02,20791418,0
2020-07-03,20791418,0
2020-07-04,20791418,0
2020-07-05,20791418,0
2020-07-06,21068777,277359
2020-07-07,21068777,0
2020-07-08,21068777,0
2020-07-09,21068777,0
2020-07-10,21068777,0
2020-07-11,21480456,411679
2020-07-12,21480456,0
2020-07-13,21480456,0
2020-07-14,21480456,0
2020-07-15,21480456,0
2020-07-16,21775474,295018
2020-07-17,21775474,0
2020-07-18,21775474,0
2020-07-19,21775474,0
2020-07-20,21775474,0
2020-07-21,22373036,597562
2020-07-22,22373036,0
2020-07-23,22373036,0
2020-07-24,22373036,0
2020-07-25,22373036,0
2020-07-26,23106915,733879
2020-07-27,23106915,0
2020-07-28,23106915,0
2020-07-29,23106915,0
2020-07-30,22107049,-999866
2020-07-31,22107049,0
